Date,Product,Predicted_Price_EGP
2026-10-01,crushed lentil,67.79
2026-11-01,crushed lentil,71.14
2026-12-01,crushed lentil,76.51
2027-01-01,crushed lentil,80.41
2027-02-01,crushed lentil,84.91
2027-03-01,crushed lentil,84.82
2027-04-01,crushed lentil,86.08
2027-05-01,crushed lentil,87.13
2027-06-01,crushed lentil,88.01
2027-07-01,crushed lentil,93.24
2027-08-01,crushed lentil,102.65
2027-09-01,crushed lentil,116.4
2027-10-01,crushed lentil,127.82
2027-11-01,crushed lentil,149.84
2027-12-01,crushed lentil,180.41
2028-01-01,crushed lentil,226.96
2028-02-01,crushed lentil,267.75
2028-03-01,crushed lentil,300.39
2028-04-01,crushed lentil,312.83
2028-05-01,crushed lentil,328.14
2028-06-01,crushed lentil,345.67
2028-07-01,crushed lentil,350.45
2028-08-01,crushed lentil,354.18
2028-09-01,crushed lentil,359.19
2028-10-01,crushed lentil,365.94
2028-11-01,crushed lentil,371.93
2028-12-01,crushed lentil,377.49
2026-04-01,cumin,352.02
2026-05-01,cumin,356.24
2026-06-01,cumin,360.51
2026-07-01,cumin,364.84
2026-08-01,cumin,369.22
2026-09-01,cumin,373.65
2026-10-01,cumin,378.13
2026-11-01,cumin,382.67
2026-12-01,cumin,387.26
2027-01-01,cumin,391.91
2027-02-01,cumin,396.61
2027-03-01,cumin,401.37
2027-04-01,cumin,406.19
2027-05-01,cumin,411.06
2027-06-01,cumin,416.0
2027-07-01,cumin,420.99
2027-08-01,cumin,426.04
2027-09-01,cumin,431.15
2027-10-01,cumin,436.33
2027-11-01,cumin,441.56
2027-12-01,cumin,446.86
2028-01-01,cumin,452.22
2028-02-01,cumin,457.65
2028-03-01,cumin,463.14
2028-04-01,cumin,468.7
2028-05-01,cumin,474.32
2028-06-01,cumin,480.01
2028-07-01,cumin,485.78
2028-08-01,cumin,491.6
2028-09-01,cumin,497.5
2028-10-01,cumin,503.47
2028-11-01,cumin,509.52
2028-12-01,cumin,515.63
2026-04-01,domestic chicken,128.07
2026-05-01,domestic chicken,132.76
2026-06-01,domestic chicken,136.9
2026-07-01,domestic chicken,139.06
2026-08-01,domestic chicken,148.78
2026-09-01,domestic chicken,161.72
2026-10-01,domestic chicken,172.69
2026-11-01,domestic chicken,193.85
2026-12-01,domestic chicken,232.09
2027-01-01,domestic chicken,259.85
2027-02-01,domestic chicken,289.74
2027-03-01,domestic chicken,277.32
2027-04-01,domestic chicken,292.95
2027-05-01,domestic chicken,300.64
2027-06-01,domestic chicken,314.48
2027-07-01,domestic chicken,325.99
2027-08-01,domestic chicken,329.71
2027-09-01,domestic chicken,332.33
2027-10-01,domestic chicken,340.07
2027-11-01,domestic chicken,343.36
2027-12-01,domestic chicken,348.7
2028-01-01,domestic chicken,333.21
2028-02-01,domestic chicken,327.51
2028-03-01,domestic chicken,331.13
2028-04-01,domestic chicken,345.07
2028-05-01,domestic chicken,353.48
2028-06-01,domestic chicken,371.15
2028-07-01,domestic chicken,376.39
2028-08-01,domestic chicken,380.42
2028-09-01,domestic chicken,385.01
2028-10-01,domestic chicken,392.41
2028-11-01,domestic chicken,396.2
2028-12-01,domestic chicken,402.36
2026-04-01,domestic duck,147.46
2026-05-01,domestic duck,150.07
2026-06-01,domestic duck,156.21
2026-07-01,domestic duck,165.09
2026-08-01,domestic duck,177.92
2026-09-01,domestic duck,199.41
2026-10-01,domestic duck,225.41
2026-11-01,domestic duck,254.39
2026-12-01,domestic duck,296.0
2027-01-01,domestic duck,286.51
2027-02-01,domestic duck,289.91
2027-03-01,domestic duck,277.38
2027-04-01,domestic duck,293.13
2027-05-01,domestic duck,300.82
2027-06-01,domestic duck,314.66
2027-07-01,domestic duck,326.17
2027-08-01,domestic duck,329.89
2027-09-01,domestic duck,332.48
2027-10-01,domestic duck,340.16
2027-11-01,domestic duck,343.38
2027-12-01,domestic duck,348.72
2028-01-01,domestic duck,333.37
2028-02-01,domestic duck,327.7
2028-03-01,domestic duck,331.21
2028-04-01,domestic duck,345.27
2028-05-01,domestic duck,353.68
2028-06-01,domestic duck,371.36
2028-07-01,domestic duck,376.6
2028-08-01,domestic duck,380.63
2028-09-01,domestic duck,385.18
2028-10-01,domestic duck,392.51
2028-11-01,domestic duck,396.22
2028-12-01,domestic duck,402.38
2026-04-01,dry beans,77.4
2026-05-01,dry beans,78.33
2026-06-01,dry beans,79.27
2026-07-01,dry beans,80.22
2026-08-01,dry beans,81.32
2026-09-01,dry beans,83.31
2026-10-01,dry beans,85.61
2026-11-01,dry beans,87.74
2026-12-01,dry beans,93.33
2027-01-01,dry beans,100.95
2027-02-01,dry beans,106.97
2027-03-01,dry beans,112.08
2027-04-01,dry beans,118.28
2027-05-01,dry beans,125.56
2027-06-01,dry beans,134.86
2027-07-01,dry beans,148.35
2027-08-01,dry beans,170.12
2027-09-01,dry beans,191.32
2027-10-01,dry beans,220.21
2027-11-01,dry beans,279.31
2027-12-01,dry beans,326.08
2028-01-01,dry beans,316.29
2028-02-01,dry beans,306.2
2028-03-01,dry beans,309.89
2028-04-01,dry beans,323.35
2028-05-01,dry beans,332.4
2028-06-01,dry beans,350.07
2028-07-01,dry beans,354.92
2028-08-01,dry beans,358.62
2028-09-01,dry beans,363.64
2028-10-01,dry beans,370.36
2028-11-01,dry beans,376.27
2028-12-01,dry beans,381.87
2026-04-01,eggplant,14.77
2026-05-01,eggplant,14.95
2026-06-01,eggplant,15.13
2026-07-01,eggplant,15.31
2026-08-01,eggplant,15.49
2026-09-01,eggplant,15.8
2026-10-01,eggplant,16.18
2026-11-01,eggplant,16.95
2026-12-01,eggplant,18.71
2027-01-01,eggplant,19.43
2027-02-01,eggplant,21.12
2027-03-01,eggplant,22.26
2027-04-01,eggplant,24.25
2027-05-01,eggplant,26.84
2027-06-01,eggplant,30.94
2027-07-01,eggplant,37.66
2027-08-01,eggplant,45.57
2027-09-01,eggplant,56.08
2027-10-01,eggplant,65.11
2027-11-01,eggplant,76.85
2027-12-01,eggplant,90.34
2028-01-01,eggplant,107.44
2028-02-01,eggplant,125.72
2028-03-01,eggplant,143.57
2028-04-01,eggplant,166.76
2028-05-01,eggplant,199.73
2028-06-01,eggplant,251.77
2028-07-01,eggplant,289.77
2028-08-01,eggplant,334.65
2028-09-01,eggplant,346.2
2028-10-01,eggplant,352.39
2028-11-01,eggplant,357.36
2028-12-01,eggplant,362.52
2026-04-01,farm cheese,98.5
2026-05-01,farm cheese,99.69
2026-06-01,farm cheese,100.88
2026-07-01,farm cheese,102.09
2026-08-01,farm cheese,103.32
2026-09-01,farm cheese,104.56
2026-10-01,farm cheese,105.81
2026-11-01,farm cheese,107.08
2026-12-01,farm cheese,111.51
2027-01-01,farm cheese,115.3
2027-02-01,farm cheese,115.39
2027-03-01,farm cheese,112.32
2027-04-01,farm cheese,114.89
2027-05-01,farm cheese,117.24
2027-06-01,farm cheese,118.9
2027-07-01,farm cheese,126.53
2027-08-01,farm cheese,143.17
2027-09-01,farm cheese,157.37
2027-10-01,farm cheese,178.31
2027-11-01,farm cheese,213.28
2027-12-01,farm cheese,250.55
2028-01-01,farm cheese,271.62
2028-02-01,farm cheese,294.81
2028-03-01,farm cheese,297.55
2028-04-01,farm cheese,303.15
2028-05-01,farm cheese,317.83
2028-06-01,farm cheese,334.43
2028-07-01,farm cheese,339.25
2028-08-01,farm cheese,343.08
2028-09-01,farm cheese,348.22
2028-10-01,farm cheese,354.3
2028-11-01,farm cheese,359.2
2028-12-01,farm cheese,364.3
2026-04-01,farm chicken,86.3
2026-05-01,farm chicken,85.35
